job_title,company_name,work_place,work_year,education,recruit_number,release_time,company_nature,company_size,industry,salary
Android开发工程师,北京多点在线科技有限公司,北京-海淀区,无需经验,本科,招3人,1-29发布,民营公司,150-500人,"互联网/电子商务,计算机软件",1.5-2万/月
Android开发工程师,深圳市英威诺科技有限公司,深圳-南山区,3-4年经验,本科,招2人,1-29发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1.5-2.5万/月
Android开发工程师,房超科技有限公司,嘉兴,2年经验,本科,招1人,1-29发布,民营公司,500-1000人,互联网/电子商务,0.8-1.1万/月
android开发工程师,中晴集团,上海-闵行区,5-7年经验,大专,招1人,1-29发布,民营公司,1000-5000人,"互联网/电子商务,多元化业务集团公司",1.5-2万/月
Android开发工程师,江苏菜先生网络科技有限公司,宿迁,2年经验,大专,招1人,1-29发布,民营公司,少于50人,互联网/电子商务,6-8千/月
Android开发工程师,广东尚通科技发展有限公司,深圳-龙华区,3-4年经验,本科,招1人,1-29发布,上市公司,150-500人,"通信/电信运营、增值服务,互联网/电子商务",1.2-2万/月
Android /安卓开发工程师,上海致维网络科技有限公司,上海-嘉定区,3-4年经验,大专,招1人,1-29发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1-2万/月
Android开发工程师,恒德瑞科技（深圳）有限公司,广州-海珠区,2年经验,本科,招1人,1-29发布,外资（非欧美）,少于50人,"互联网/电子商务,教育/培训/院校",0.8-1.2万/月
高级Android 开发工程师,多轮多网络科技（深圳）有限公司,深圳-南山区,8-9年经验,本科,招1人,1-29发布,民营公司,少于50人,互联网/电子商务,1.5-2.5万/月
Android开发工程师,上海玖品信息科技有限公司,上海-嘉定区,1年经验,本科,招1人,1-29发布,民营公司,50-150人,互联网/电子商务,1-2万/月
Android开发工程师,奕帆信息科技（深圳）有限公司,深圳-龙华区,3-4年经验,大专,招若干人,1-29发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1-1.5万/月
安卓Android开发工程师,广州猎狗科技有限公司,广州-海珠区,5-7年经验,本科,招1人,1-29发布,民营公司,150-500人,"中介服务,互联网/电子商务",1.2-1.6万/月
Android（游戏）,杭州悦蓝互联科技股份有限公司,杭州-西湖区,2年经验,大专,招若干人,1-29发布,民营公司,150-500人,互联网/电子商务,0.8-1.2万/月
Android应用开发,深圳良元信息技术有限公司,深圳-南山区,3-4年经验,大专,招若干人,1-29发布,民营公司,500-1000人,互联网/电子商务,1-1.5万/月
Android高级开发工程师,深圳市艾特天下技术有限公司,深圳-南山区,3-4年经验,本科,招3人,1-29发布,民营公司,50-150人,"互联网/电子商务,计算机软件",2.5-3.5万/月
资深Android工程师,南京伯索网络科技有限公司,南京-秦淮区,8-9年经验,本科,招1人,1-29发布,民营公司,150-500人,"互联网/电子商务,计算机软件",2.5-3.5万/月
Android开发工程师,上海舟恩信息技术有限公司,上海,2年经验,大专,招若干人,1-29发布,民营公司,150-500人,"互联网/电子商务,计算机软件",1-1.5万/月
Android高级开发工程师（宝山）,上海互盾信息科技有限公司,上海-宝山区,5-7年经验,本科,招1人,1-29发布,民营公司,150-500人,"互联网/电子商务,计算机软件",2.5-3.5万/月
Android开发工程师,杭州赛脑智能控制技术有限公司,杭州-余杭区,3-4年经验,本科,招1人,1-29发布,民营公司,50-150人,"计算机硬件,互联网/电子商务",0.8-1.5万/月
Android开发工程师,豆根网络科技（上海）有限公司,上海-嘉定区,5-7年经验,本科,招2人,1-29发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1.5-2万/月
Android开发工程师,杭州玖欣物联科技有限公司,杭州-滨江区,3-4年经验,本科,招1人,1-29发布,民营公司,50-150人,"互联网/电子商务,仪器仪表/工业自动化",1.5-2万/月
Android高级框架开发工程师,深圳市中易通网络技术有限公司,深圳-南山区,5-7年经验,本科,招1人,1-28发布,民营公司,50-150人,"计算机服务(系统、数据服务、维修),互联网/电子商务",2-3万/月
Android开发工程师（移动端）,上海富勒信息科技有限公司,武汉,1年经验,本科,招1人,1-28发布,合资,150-500人,"计算机软件,互联网/电子商务",6-8千/月
Android开发工程师,不灭科技（上海）有限公司,上海-徐汇区,5-7年经验,大专,招1人,1-28发布,民营公司,150-500人,"计算机软件,互联网/电子商务",1.5-1.7万/月
Android移动开发工程师,大连铭信科技发展有限公司,大连-高新园区,3-4年经验,大专,招5人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",0.6-1.5万/月
Android开发工程师,北京小牛互联科技有限公司,北京,无需经验,本科,招若干人,1-28发布,合资,50-150人,互联网/电子商务,1.2-2.2万/月
初级Android开发工程师,深圳尚米网络技术有限公司,深圳,在校生/应届生,本科,招若干人,1-28发布,民营公司,150-500人,"网络游戏,互联网/电子商务",0.6-1.2万/月
高级android工程师,深圳万顺叫车云信息技术有限公司,深圳-宝安区,5-7年经验,大专,招1人,1-28发布,民营公司,500-1000人,"交通/运输/物流,互联网/电子商务",1.5-2万/月
高级Android工程师-互联网电商,敦煌网,北京-海淀区,3-4年经验,本科,招1人,1-28发布,外资（非欧美）,500-1000人,"互联网/电子商务,贸易/进出口",1.2-2万/月
高级安卓（Android）开发工程师,上海金杉数金互联网科技有限公司,上海-浦东新区,3-4年经验,本科,招2人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1.8-2.4万/月
Android高级开发工程师,深圳中琛源科技股份有限公司,深圳-南山区,5-7年经验,本科,招若干人,1-28发布,上市公司,150-500人,"互联网/电子商务,计算机软件",1.8-2.5万/月
Android开发工程师,广东省出版集团数字出版有限公司,广州-越秀区,3-4年经验,本科,招1人,1-28发布,国企,50-150人,"文字媒体/出版,互联网/电子商务",1-1.5万/月
Android开发工程师,杉德集团-上海久彰电子商务有限公司,上海,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,金融/投资/证券",1-2万/月
Android开发工程师,南京迈特望科技股份有限公司,南京,3-4年经验,大专,招5人,1-28发布,上市公司,1000-5000人,"计算机软件,互联网/电子商务",1-1.5万/月
Android开发工程师,邵阳天团科技有限公司,邵阳,无需经验,本科,招2人,1-28发布,民营公司,少于50人,互联网/电子商务,1-1.5万/月
高级android开发工程师,成都网阔信息技术股份有限公司,成都,3-4年经验,本科,招若干人,1-28发布,合资,150-500人,互联网/电子商务,1-1.5万/月
Android开发工程师,深圳市畅玩时代科技有限公司,深圳-南山区,1年经验,本科,招1人,1-28发布,民营公司,少于50人,"计算机软件,互联网/电子商务",1-1.5万/月
Android开发工程师,深圳市财富趋势科技股份有限公司,武汉-洪山区,2年经验,本科,招5人,1-28发布,创业公司,150-500人,"计算机软件,互联网/电子商务",0.8-1.3万/月
Android开发工程师,成都金翼致远科技有限公司,成都,2年经验,大专,招若干人,1-28发布,合资,50-150人,互联网/电子商务,6-8千/月
Android工程师（车联网）,上海恒志软件科技有限公司,上海-闵行区,5-7年经验,本科,招1人,1-28发布,民营公司,150-500人,"计算机软件,互联网/电子商务",1.5-2万/月
Android开发工程师,广州思锋信息科技有限公司,广州-天河区,2年经验,大专,招若干人,1-28发布,民营公司,50-150人,"网络游戏,互联网/电子商务",0.8-1.2万/月
Android高级开发工程师,上海卓建网络科技有限公司,上海-杨浦区,3-4年经验,大专,招2人,1-28发布,民营公司,50-150人,"互联网/电子商务,建筑/建材/工程",1.5-2.5万/月
android开发工程师,宁夏博信通科技有限公司,成都,2年经验,本科,招若干人,1-28发布,合资,5000-10000人,互联网/电子商务,0.8-1.2万/月
Android初中级研发工程师,深圳市汇脉通科技有限公司,深圳-福田区,2年经验,大专,招若干人,1-28发布,民营公司,50-150人,互联网/电子商务,0.8-1.5万/月
Android开发工程师,中国民航信息网络股份有限公司重庆分公司,重庆-渝北区,2年经验,本科,招7人,1-28发布,国企,500-1000人,"计算机软件,互联网/电子商务",6-18万/年
Android开发工程师,广州问问科技有限公司,广州-天河区,3-4年经验,大专,招3人,1-28发布,民营公司,少于50人,"互联网/电子商务,金融/投资/证券",1.5-2万/月
Android开发工程师,早道（大连）教育科技有限公司,大连-甘井子区,3-4年经验,大专,招1人,1-28发布,民营公司,500-1000人,"互联网/电子商务,教育/培训/院校",0.8-1万/月
Android开发工程师,深圳市深信信息技术有限公司,深圳-龙岗区,1年经验,本科,招1人,1-28发布,民营公司,少于50人,"互联网/电子商务,计算机软件",0.8-1万/月
Android开发工程师,郑州中兴产业园有限公司,郑州-经开区,2年经验,大专,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,物业管理/商业中心",6-8千/月
Android开发工程师,广州奇异果互动科技股份有限公司,广州-天河区,2年经验,本科,招1人,1-28发布,上市公司,50-150人,"广告,互联网/电子商务",0.8-1.2万/月
Android开发工程师,深圳市善行医疗科技有限公司,深圳-南山区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,计算机硬件",1.5-2.5万/月
资深Android工程师,广州探迹科技有限公司,广州-番禺区,2年经验,本科,招1人,1-28发布,民营公司,500-1000人,"互联网/电子商务,计算机软件",1.2-2万/月
Android开发工程师,广州城北信息科技有限公司,广州-海珠区,1年经验,大专,招2人,1-28发布,民营公司,150-500人,互联网/电子商务,0.6-1万/月
Android开发工程师,深圳市多科电子有限公司,深圳-龙华区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"通信/电信/网络设备,互联网/电子商务",1.6-2.5万/月
Android开发工程师,重庆举宇科技有限公司,重庆-江北区,1年经验,本科,招2人,1-28发布,民营公司,少于50人,"互联网/电子商务,电气/电力/水利",1-1.5万/月
Android开发工程师,上海寰创通信科技股份有限公司,上海-闵行区,在校生/应届生,本科,招3人,1-28发布,民营公司,150-500人,"通信/电信/网络设备,互联网/电子商务",0.7-1.2万/月
android开发工程师,福建国通星驿网络科技有限公司,福州-马尾区,1年经验,本科,招2人,1-28发布,民营公司,500-1000人,"计算机服务(系统、数据服务、维修),互联网/电子商务",0.8-1万/月
Android开发工程师,上海巧盒智能科技有限公司,上海-静安区,3-4年经验,本科,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,批发/零售",2-2.5万/月
Android开发工程师,东莞市盛世万丰绿园网络科技有限公司,东莞-南城区,2年经验,大专,招2人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1-1.8万/月
高级Android开发工程师,广州亚美信息科技有限公司,广州,5-7年经验,本科,招若干人,1-28发布,民营公司,500-1000人,互联网/电子商务,1.5-2万/月
移动端开发工程师(android),广州市坤盛信息科技有限公司,广州-天河区,5-7年经验,本科,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1-1.5万/月
Android高级开发工程师,深圳市美果源科技有限公司,深圳-南山区,3-4年经验,本科,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,通信/电信运营、增值服务",1.2-3万/月
Android开发工程师,深圳市文版通电子商务有限公司,深圳-福田区,3-4年经验,大专,招2人,1-28发布,民营公司,150-500人,互联网/电子商务,1-1.5万/月
Android&IOS App开发,无锡宝通科技股份有限公司,无锡,5-7年经验,本科,招若干人,1-28发布,上市公司,500-1000人,"多元化业务集团公司,互联网/电子商务",10-15万/年
Android开发工程师,辉塔信息技术咨询（上海）有限公司,上海,3-4年经验,大专,招若干人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1.3-1.6万/月
Android开发工程师,武汉领游科技有限公司,武汉-洪山区,1年经验,本科,招3人,1-28发布,民营公司,少于50人,"网络游戏,互联网/电子商务",1-1.5万/月
高级Android开发,深圳市达熙科技有限公司,深圳,5-7年经验,大专,招3人,1-28发布,民营公司,少于50人,"互联网/电子商务,计算机软件",1.8-3.5万/月
Android开发工程师,浙江同兴技术股份有限公司,杭州-滨江区,1年经验,本科,招若干人,1-28发布,民营公司,50-150人,"计算机服务(系统、数据服务、维修),互联网/电子商务",0.5-1万/月
安卓Android系统工程师,上海领大软件有限公司,上海-徐汇区,2年经验,本科,招若干人,1-28发布,民营公司,少于50人,"通信/电信运营、增值服务,互联网/电子商务",1-3万/月
Android BSP开发工程师,上海新案数字科技有限公司,上海-徐汇区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,汽车",1.5-3万/月
Android开发工程师,武汉数文科技有限公司,武汉,1年经验,本科,招3人,1-28发布,民营公司,150-500人,"计算机软件,互联网/电子商务",6-9千/月
Android开发工程师,深圳市正义网络技术有限公司,深圳-宝安区,3-4年经验,大专,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,贸易/进出口",1.2-1.5万/月
Android开发工程师,上海音明信息技术有限公司,上海-浦东新区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",1-1.5万/月
APP开发工程师（iOS/Android）,海腾科技（广东）有限责任公司,广州,2年经验,本科,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,影视/媒体/艺术/文化传播",1-2万/月
Android开发工程师/安卓开发工程师,韩国瓷肌中国区公司,广州-天河区,2年经验,大专,招1人,1-28发布,民营公司,500-1000人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",0.9-1.2万/月
Android开发工程师,深圳市云卓数码科技有限公司,深圳-南山区,2年经验,本科,招2人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",0.8-1.6万/月
Android,深圳唯修汇科技有限公司,深圳-宝安区,3-4年经验,本科,招若干人,1-28发布,民营公司,150-500人,互联网/电子商务,1.4-2万/月
Android开发工程师,西安方向标人力资源管理有限公司,贵阳,1年经验,大专,招2人,1-28发布,民营公司,少于50人,"专业服务(咨询、人力资源、财会),互联网/电子商务",6-8千/月
Android开发工程师,山西云涛绿能科技有限公司,太原-迎泽区,无需经验,大专,招若干人,1-28发布,民营公司,50-150人,"互联网/电子商务,机械/设备/重工",4.5-6千/月
Android开发工程师,开思时代科技（深圳）有限公司,深圳-龙岗区,5-7年经验,本科,招1人,1-28发布,民营公司,1000-5000人,"互联网/电子商务,计算机软件",1.5-3万/月
Android开发工程师,广东货多多物流科技股份有限公司,广州-黄埔区,1年经验,本科,招1人,1-28发布,民营公司,少于50人,"交通/运输/物流,互联网/电子商务",0.7-1万/月
Android系统测试工程师,易视腾科技股份有限公司,广州-天河区,3-4年经验,本科,招1人,1-28发布,民营公司,500-1000人,"计算机软件,互联网/电子商务",1-1.5万/月
Android开发工程师,上海天游软件有限公司,上海-徐汇区,5-7年经验,本科,招1人,1-28发布,上市公司,150-500人,"互联网/电子商务,网络游戏",1.5-2万/月
Android开发工程师（应届生）,广州映博智能科技有限公司,广州-天河区,在校生/应届生,本科,招若干人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",0.7-1.2万/月
Android开发工程师,深圳市泓齐网络科技有限公司,深圳-福田区,3-4年经验,本科,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1.3-1.6万/月
Android开发工程师,珠海优特智厨科技有限公司,珠海,2年经验,本科,招2人,1-28发布,民营公司,150-500人,互联网/电子商务,1-1.7万/月
Android安卓工程师,深圳市有传科技有限公司,北京-海淀区,1年经验,本科,招1人,1-28发布,民营公司,150-500人,互联网/电子商务,1.2-1.8万/月
Android开发工程师,杭州掌读科技有限公司,杭州-滨江区,3-4年经验,本科,招4人,1-28发布,民营公司,150-500人,"互联网/电子商务,文字媒体/出版",1.5-2万/月
安卓（Android）开发工程师,以润誉茗科技（云南）有限公司,昆明-盘龙区,2年经验,大专,招1人,1-28发布,民营公司,50-150人,互联网/电子商务,0.8-1.2万/月
Android开发工程师,广州畅想互动网络科技有限公司,广州-天河区,1年经验,大专,招1人,1-28发布,民营公司,少于50人,"网络游戏,互联网/电子商务",1-1.5万/月
Android开发工程师,彩讯科技股份有限公司,深圳,2年经验,本科,招若干人,1-28发布,上市公司,1000-5000人,"通信/电信运营、增值服务,互联网/电子商务",1.3-2万/月
Android开发工程师,聚信互联（北京）科技有限公司,北京-朝阳区,3-4年经验,本科,招1人,1-28发布,民营公司,50-150人,互联网/电子商务,1.1-2万/月
Android开发工程师,上海数与实业集团有限公司,上海-闵行区,2年经验,本科,招1人,1-28发布,民营公司,50-150人,互联网/电子商务,1-2万/月
Android开发工程师,杭州数游软件科技有限公司,杭州-拱墅区,3-4年经验,本科,招1人,1-28发布,民营公司,1000-5000人,"互联网/电子商务,金融/投资/证券",1.5-2万/月
